2018-04-17 14:48:36,483 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2018-04-17 14:48:36,748 [Worker-8] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 15 sec
2018-04-17 14:48:43,144 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2018-04-17 14:48:43,243 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-04-17 14:48:43,248 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-17 14:48:43,265 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-17 14:48:43,269 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-04-17 14:48:43,270 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Learning\Java\SpringBoot\sl\src\test\resources
2018-04-17 14:49:26,017 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:druid:jar:1.0.25 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-04-17 14:49:26,027 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2018-04-17 14:49:27,475 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:49:27,480 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2018-04-17 14:49:27,489 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 17 resources
2018-04-17 14:49:27,495 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:49:27,496 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Learning\Java\xwtec\o2opay-web\etonmall_h5\src\test\resources
2018-04-17 14:53:52,896 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:53:52,929 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2018-04-17 14:53:52,935 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 17 resources
2018-04-17 14:53:52,942 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:53:52,943 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Learning\Java\xwtec\o2opay-web\etonmall_h5\src\test\resources
2018-04-17 14:53:56,361 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:53:56,389 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2018-04-17 14:53:56,393 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 17 resources
2018-04-17 14:53:56,398 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:53:56,399 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Learning\Java\xwtec\o2opay-web\etonmall_h5\src\test\resources
2018-04-17 14:54:01,399 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:54:01,433 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2018-04-17 14:54:01,438 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 17 resources
2018-04-17 14:54:01,443 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:54:01,444 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Learning\Java\xwtec\o2opay-web\etonmall_h5\src\test\resources
2018-04-17 14:54:04,142 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:54:04,164 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2018-04-17 14:54:04,168 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 17 resources
2018-04-17 14:54:04,174 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:54:04,175 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Learning\Java\xwtec\o2opay-web\etonmall_h5\src\test\resources
2018-04-17 14:54:06,396 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:54:06,419 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2018-04-17 14:54:06,423 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 17 resources
2018-04-17 14:54:06,427 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:54:06,428 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Learning\Java\xwtec\o2opay-web\etonmall_h5\src\test\resources
2018-04-17 15:04:59,957 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.xwtec.cn:etonmall_h5:0.0.1 @ F:\Learning\Java\xwtec\o2opay-web\etonmall_h5\pom.xml.
2018-04-17 15:05:00,073 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:druid:jar:1.0.25 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-04-17 15:05:00,077 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2018-04-17 15:05:00,826 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:druid:jar:1.0.25 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-04-17 15:05:00,830 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
